LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005021,E01005021 : Bury 001F,3.23,40.13,45.48,14.05,8.33,98.09069212,9.01,1.44,9.97,0.6
E01005019,E01005019 : Bury 002A,3.68,41.49,50.56,20.8,13.74,97.28,10.68,1.61,10.49,0.46
E01005023,E01005023 : Bury 002B,3.32,35.88,17.58,10.44,22.16,97.24770642,11.46,1.71,10.84,0.44
E01005046,E01005046 : Bury 002C,3.25,39.35,26.84,5.75,6.8,98.96602659,10.69,1.61,10.58,0.41
E01005048,E01005048 : Bury 002D,2.28,50.69,72.01,8.93,6.53,97.87556904,10.19,1.54,10.35,0.45
E01005020,E01005020 : Bury 003A,2.5,46.67,82.34,2.18,4.57,99.20634921,10.58,1.63,10.69,0.45
E01005022,E01005022 : Bury 003B,2.86,52,41.89,30.71,14.49,99.21383648,11.26,1.7,11.05,0.64
E01005047,E01005047 : Bury 003C,2.96,41.33,37.56,27.58,9.32,99.15254237,10.41,1.6,10.59,0.7
E01005049,E01005049 : Bury 003D,3.72,36.38,17.98,47.67,17.88,96.94148936,10.65,1.6,10.64,0.46
E01005051,E01005051 : Bury 003E,1.86,33.18,22.73,42.73,28.41,93.51585014,10.92,1.63,10.76,0.48
E01004976,E01004976 : Bury 004A,6.18,24.35,4.54,17.53,39.87,94.85179407,15.03,2.13,11.79,0.45
E01004977,E01004977 : Bury 004B,5.58,26.17,5.81,23.36,32.83,96.22166247,15.34,2.15,12.14,0.34
E01004978,E01004978 : Bury 004C,7.44,30.97,5.47,57.14,28.79,90.27355623,16.59,2.25,12.54,0.34
E01004981,E01004981 : Bury 004D,3.07,34.52,14.47,20.9,24.28,97.90996785,12.73,1.82,11.4,0.56
E01004982,E01004982 : Bury 004E,3.36,34.73,41.9,18.65,13.59,97.86259542,13.77,1.95,11.83,0.49
E01004961,E01004961 : Bury 005A,6.31,26.94,32.91,21.52,39.78,92.22222222,16.06,2.14,12.1,0.41
E01004965,E01004965 : Bury 005B,3.3,41.83,73.72,4.74,8.88,95.43650794,13.42,1.95,11.36,0.45
E01004966,E01004966 : Bury 005C,6.73,27.82,9.83,14.13,42.88,91.67822469,12.4,1.83,11.19,0.45
E01004967,E01004967 : Bury 005D,3.93,39.82,82.07,1.08,6.25,98.27213823,16.42,2.21,12.08,0.44
E01004963,E01004963 : Bury 006A,3.65,27.26,19.91,19.19,22.4,92.79538905,12.97,1.82,11.3,0.4
E01004968,E01004968 : Bury 006B,2.63,35.46,22.68,10.11,8.79,98.36601307,13.7,1.9,11.47,0.4
E01005050,E01005050 : Bury 006C,3.32,31.06,27.53,45.53,21.22,95.5346651,11.55,1.7,10.9,0.44
E01005052,E01005052 : Bury 006D,4.62,35.08,19.97,12.97,9.4,99.14529915,10.84,1.61,10.58,0.39
E01005053,E01005053 : Bury 006E,3.05,31.28,19.75,39.49,21.57,96.68769716,11.66,1.73,10.95,0.48
E01004954,E01004954 : Bury 007A,4.22,27.18,13.64,22.48,28.02,96.89922481,14.93,2.07,12.87,0.46
E01004955,E01004955 : Bury 007B,6.13,24.09,16.3,41.67,35.51,93.84057971,15.32,2.18,12.67,0.47
E01004956,E01004956 : Bury 007C,7.62,21.59,5.24,55.04,48.28,90.1660281,15.08,2.06,12.7,0.28
E01004957,E01004957 : Bury 007D,11.21,19.12,9.73,23.26,65.11,84.74148802,15.17,2.29,13.16,0.49
E01004960,E01004960 : Bury 007E,18.02,15.55,3.99,20.86,81.9,83.28220859,15.96,2.19,12.79,0.49
E01004958,E01004958 : Bury 008A,10.7,19.87,2.77,64.92,58.52,89.35860058,15,2.17,12.47,0.24
E01004959,E01004959 : Bury 008B,9.73,21.99,3.42,56.97,50.89,89.07103825,14.68,2.16,12.42,0.31
E01004979,E01004979 : Bury 008C,11.51,20.12,4.01,64.54,63,83.92857143,14.7,1.99,11.93,0.19
E01004980,E01004980 : Bury 008D,9.17,26.49,1.25,75.23,50,88.5625966,16.29,2.2,12.7,0.23
