2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005105 : Manchester 015C,"2,954","1,624",866,327,111,26
E01005106 : Manchester 015D,"2,333","1,164",698,281,136,54
E01005107 : Manchester 015E,"2,033","1,017",608,253,119,36
E01033668 : Manchester 015F,"1,155",624,322,146,44,19
E01033669 : Manchester 015G,"1,427",646,463,203,89,26
E01005189 : Manchester 017D,"1,688",672,524,275,157,60
E01005190 : Manchester 017E,"2,449","1,201",778,309,124,37
E01034111 : Manchester 017G,"1,571",781,449,216,95,30
E01034112 : Manchester 017H,"1,851",941,559,230,105,16
E01034113 : Manchester 017I,"1,486",792,415,172,77,30
E01034114 : Manchester 017J,"1,917",957,619,217,103,21
E01005061 : Manchester 018A,"1,786",861,519,265,103,38
E01005063 : Manchester 018C,"2,118","1,114",590,278,94,42
E01005065 : Manchester 018D,"2,176","1,118",669,252,98,39
E01005066 : Manchester 018E,"1,052",494,356,130,54,18
E01034115 : Manchester 018F,"1,894","1,067",572,171,67,17
E01034116 : Manchester 018G,"1,110",611,365,90,36,8
E01005208 : Manchester 019A,"2,808","1,501",936,261,90,20
E01005210 : Manchester 019C,"2,647","1,358",985,222,60,22
E01005214 : Manchester 019D,"2,389","1,316",785,209,66,13
E01034117 : Manchester 019E,"2,202","1,285",732,147,26,12
E01034118 : Manchester 019F,"1,026",466,345,134,59,22
E01005067 : Manchester 020A,"2,074","1,113",593,220,108,40
E01005186 : Manchester 020B,"2,896","1,408",865,379,168,76
E01005232 : Manchester 020C,"1,926",960,598,227,97,44
E01005235 : Manchester 020D,"2,079","1,008",630,273,135,33
E01005239 : Manchester 020E,"1,802",883,502,260,102,55
E01005187 : Manchester 021A,"2,246","1,191",633,251,109,62
E01005188 : Manchester 021B,"1,919",911,664,232,81,31
E01005191 : Manchester 021C,"1,860",851,607,257,114,31
E01005192 : Manchester 021D,"1,733",823,567,230,77,36
E01005193 : Manchester 021E,"1,770",818,584,242,90,36
E01005230 : Manchester 022B,"2,094",959,766,262,81,26
E01005231 : Manchester 022C,"2,503","1,286",933,205,65,14
E01005236 : Manchester 022D,"2,265","1,191",696,270,72,36
E01005237 : Manchester 022E,"2,037",963,660,295,92,27
E01034119 : Manchester 022H,"2,667","1,332",890,305,108,32
E01005195 : Manchester 023A,"2,447","1,277",716,287,120,47
E01005197 : Manchester 023C,"1,728",760,564,247,111,46
E01005198 : Manchester 023D,"2,050",981,629,264,140,36
E01005201 : Manchester 023E,"2,127","1,174",647,210,69,27
E01034120 : Manchester 023F,"1,776",929,533,175,107,32
E01034121 : Manchester 023G,"1,422",806,423,139,32,22
E01005243 : Manchester 024B,"2,911","1,436",949,338,135,53
E01005245 : Manchester 024C,"2,803","1,497",830,323,102,51
E01005246 : Manchester 024D,"2,540","1,404",781,251,75,29
E01034122 : Manchester 024E,"1,868","1,021",601,177,54,15
E01034123 : Manchester 024F,"1,761",931,512,205,91,22
E01005244 : Manchester 025C,"2,992","1,608",987,291,85,21
E01005285 : Manchester 025D,"1,536",780,456,189,77,34
E01005288 : Manchester 025E,"1,823",934,610,187,73,19
E01034124 : Manchester 025F,"1,571",857,467,175,59,13
E01034125 : Manchester 025G,"1,554",830,479,183,50,12
E01034126 : Manchester 025H,"1,655",917,512,169,43,14
E01034127 : Manchester 025I,"1,363",677,477,145,43,21
E01005280 : Manchester 026A,"2,177","1,037",732,276,96,36
E01005281 : Manchester 026B,"2,571","1,314",971,202,71,13
E01005284 : Manchester 026C,"2,598","1,362",929,231,49,27
E01005286 : Manchester 026D,"2,301","1,194",821,198,68,20
E01005287 : Manchester 026E,"2,347","1,087",724,339,142,55
E01005297 : Manchester 028A,"2,437","1,213",773,277,137,37
E01005298 : Manchester 028B,"1,814",966,587,180,70,11
E01005302 : Manchester 028C,"2,109","1,029",679,278,92,31
E01033680 : Manchester 028E,"1,261",608,415,158,63,17
E01033686 : Manchester 028F,"1,319",638,449,153,60,19
E01005150 : Manchester 029A,"1,696",881,586,175,46,8
E01005151 : Manchester 029B,"1,478",739,466,177,71,25
E01005152 : Manchester 029C,"1,435",868,410,123,27,7
E01005159 : Manchester 029D,"1,610",836,553,169,39,13
E01005296 : Manchester 029E,"1,567",852,458,178,56,23
E01005299 : Manchester 029F,"1,579",795,512,190,67,15
E01005178 : Manchester 030A,"2,010","1,028",622,237,83,40
E01005179 : Manchester 030B,"2,228","1,108",755,248,87,30
E01005180 : Manchester 030C,"1,920",838,607,289,140,46
E01005181 : Manchester 030D,"2,227","1,124",659,314,94,36
E01005182 : Manchester 030E,"1,619",800,492,211,91,25
E01005183 : Manchester 030F,"1,792",851,494,269,127,51
E01005219 : Manchester 031A,"2,277","1,080",787,296,91,23
E01005220 : Manchester 031B,"2,138","1,111",694,238,74,21
E01005221 : Manchester 031C,"2,557","1,255",900,287,96,19
E01005222 : Manchester 031D,"2,164","1,040",712,260,125,27
E01005184 : Manchester 032A,"2,295","1,252",738,222,55,28
E01005185 : Manchester 032B,"3,261","1,770","1,215",236,33,7
E01005271 : Manchester 032C,"1,985","1,039",736,156,42,12
E01034128 : Manchester 032F,"3,735","1,988","1,253",379,95,20
E01005154 : Manchester 033A,"1,427",823,435,102,35,32
E01005156 : Manchester 033B,"1,479",840,468,129,31,11
E01005158 : Manchester 033C,"1,491",770,438,196,71,16
E01005300 : Manchester 033D,"1,547",745,536,189,63,14
E01005301 : Manchester 033E,"1,479",805,473,158,36,7
E01005118 : Manchester 034A,"1,474",742,464,175,78,15
E01005120 : Manchester 034B,"1,903",896,638,243,98,28
E01005215 : Manchester 034C,"2,045",993,694,257,79,22
E01005216 : Manchester 034D,"1,529",795,501,168,45,20
E01005217 : Manchester 034E,"2,053","1,122",623,234,59,15
E01005218 : Manchester 034F,"1,689",793,535,233,95,33
E01005270 : Manchester 035A,"1,768",806,556,261,107,38
E01005272 : Manchester 035B,"1,971",857,588,313,158,55
E01005273 : Manchester 035C,"1,667",884,564,147,54,18
E01005278 : Manchester 035D,"1,853",978,601,191,67,16
E01005279 : Manchester 035E,"2,198","1,123",652,302,92,29
E01005305 : Manchester 036A,"1,709",912,554,186,46,11
E01005309 : Manchester 036B,"2,232","1,204",730,220,58,20
E01005310 : Manchester 036C,"1,986","1,062",651,175,74,24
E01005311 : Manchester 036D,"1,825",930,632,185,64,14
E01005312 : Manchester 036E,"1,982","1,074",637,169,87,15
E01005082 : Manchester 037A,"1,799",904,527,216,98,54
E01005153 : Manchester 037B,"1,544",851,453,159,61,20
E01005155 : Manchester 037C,"1,434",844,432,118,31,9
E01005157 : Manchester 037D,"1,530",937,463,95,31,4
